date,close,volume,open,high,low
2014/03/27,558.46,13052,568,568,552.92
2014/03/28,559.99,41003,561.2,566.43,558.67
2014/03/31,556.97,10772,566.89,567,556.93
2014/04/01,567.16,7932,558.71,568.45,558.71
2014/04/02,567,146697,599.99,604.83,562.19
2014/04/03,569.74,5080231,569.85,587.28,564.13
2014/04/04,543.14,6350969,574.65,577.77,543
2014/04/07,538.15,4364932,540.74,548.48,527.15
2014/04/08,554.9,3141406,542.6,555,541.61
2014/04/09,564.14,3321485,559.62,565.37,552.95
2014/04/10,540.95,4025527,565,565,539.9
2014/04/11,530.6,3913747,532.55,540,526.53
2014/04/14,532.52,2561317,538.25,544.1,529.561
2014/04/15,536.44,3840157,536.82,538.45,518.4601
2014/04/16,556.54,4775043,543,557,540
2014/04/17,536.1,6780479,548.81,549.5,531.15
2014/04/21,528.62,2556088,536.1,536.7,525.6
2014/04/22,534.81,2358577,528.64,537.23,527.51
2014/04/23,526.94,2042590,533.79,533.87,526.25
2014/04/24,525.16,1876048,530.07,531.65,522.12
2014/04/25,516.18,2094423,522.51,524.7,515.42
2014/04/28,517.15,3321292,517.18,518.6,502.8
2014/04/29,527.7,2686946,516.9,529.46,516.32
2014/04/30,526.66,1744021,527.6,528,522.52
2014/05/01,531.35,1899335,527.11,532.93,523.88
2014/05/02,527.93,1683510,533.76,533.9999,525.61
2014/05/05,527.81,1021200,524.82,528.9,521.32
2014/05/06,515.14,1646392,525.23,526.81,515.06
2014/05/07,509.96,3213227,515.79,516.68,503.3
2014/05/08,511,2014189,508.46,517.23,506.45
2014/05/09,518.73,2431747,510.75,519.9,504.2
2014/05/12,529.92,1906208,523.51,530.19,519.01
2014/05/13,533.09,1645775,530.89,536.07,529.51
2014/05/14,526.65,1188265,533,533,525.29
2014/05/15,519.98,1697113,525.7,525.87,517.42
2014/05/16,520.63,1480946,521.39,521.8,515.44
2014/05/19,528.86,1273994,519.7,529.78,517.583
2014/05/20,529.77,1778646,529.74,536.23,526.3
2014/05/21,538.94,1187797,532.9,539.1828,531.91
2014/05/22,545.06,1607695,541.13,547.5999,540.78
2014/05/23,552.7,1926883,547.26,553.64,543.7
2014/05/27,565.95,2098281,556,566,554.35
2014/05/28,561.68,1644973,564.57,567.84,561
2014/05/29,560.08,1349166,563.35,564,558.71
2014/05/30,559.89,1766237,560.8,561.35,555.91
2014/06/02,553.93,1430933,560.7,560.9,545.73
2014/06/03,544.94,1857079,550.99,552.34,542.55
2014/06/04,544.66,1811517,541.5,548.61,538.75
2014/06/05,553.9,1684263,546.4,554.95,544.45
2014/06/06,556.33,1731983,558.06,558.06,548.93
2014/06/09,562.12,1460832,557.15,562.9,556.04
2014/06/10,560.55,1346018,560.51,563.6,557.9
2014/06/11,558.84,1096413,558,559.88,555.0201
2014/06/12,551.35,1454280,557.3,557.99,548.46
2014/06/13,551.76,1217046,552.26,552.3,545.56
2014/06/16,544.28,1697866,549.26,549.62,541.52
2014/06/17,543.01,1440535,544.2,545.32,539.33
2014/06/18,553.37,1734731,544.86,553.56,544
2014/06/19,554.9,2450141,554.24,555,548.51
2014/06/20,556.36,4494200,556.85,557.58,550.3915
2014/06/23,564.95,1532354,555.15,565,554.25
2014/06/24,564.62,2201002,565.19,572.646,561.01
2014/06/25,578.65,1961435,565.26,579.96,565.22
2014/06/26,576,1725575,581,582.45,571.85
2014/06/27,577.24,2227207,577.18,579.87,573.8
2014/06/30,575.28,1310062,578.66,579.57,574.75
2014/07/01,582.67,1444029,578.32,584.4,576.65
2014/07/02,582.335,1053529,583.35,585.4399,580.39
2014/07/03,584.73,712210,583.35,585.01,580.92
2014/07/07,582.25,1059944,583.76,586.4299,579.59
2014/07/08,571.09,1904121,577.66,579.5284,566.135
2014/07/09,576.08,1111847,571.58,576.72,569.376
2014/07/10,571.1,1351100,565.91,576.59,565.01
2014/07/11,579.18,1617309,571.91,580.85,571.42
2014/07/14,584.87,1848917,582.6,585.21,578.03
2014/07/15,584.78,1618230,585.74,585.8045,576.56
2014/07/16,582.66,1393153,588,588.4,582.2
2014/07/17,573.7299,2977775,579.53,580.99,568.61
